"automated","collectionProtocol","comments","createdBy","groupNames","inputCount","instrumentName","jobId","jobStatus","name","plateId","primaryProtocol","protocolName","referenceSequenceName","sampleName","sequencingCondition","version","whenStarted"
"true","MagBead OneCellPerWell v1","","fanglab","all","1","42177R","16674","Completed","assemble_Bunif","TD_01454_Fosmid_pools_TD_01442_ER_TD_01294_P6_120619_MOCPW","BasecallerV1","RS_HGAP_Assembly.3","","TD_01294_B_uniformis  AMP_4KB_020420_MO_90pM","","2.3.0","Thu Feb 06 09:45:18 EST 2020"
"true","MagBead OneCellPerWell v1","","oussenko","all","1","42177R","16670","Completed","ER_22090_3A_5Krapid_HGAP3","TD_01454_Fosmid_pools_TD_01442_ER_TD_01294_P6_120619_MOCPW","BasecallerV1","RS_HGAP_Assembly.3","","TD01442_ER_22090_3A_5K_P6_020420_MOCPW_80pM","","2.3.0","Wed Feb 05 10:01:01 EST 2020"
"true","MagBead OneCellPerWell v1","","MSmith","all","1","42177R","16668","Completed","TD01442_ER_22069_5krapid_HGAP3","TD_01442_ER_isolate_high_P6_013120_MOCPW","BasecallerV1","RS_HGAP_Assembly.3","","TD01442_ER_22069_5Krapid_P6_013120_MOCPW_80pM","","2.3.0","Sat Feb 01 09:15:36 EST 2020"
"true","MagBead OneCellPerWell v1","","oussenko","all","1","42177R","16667","Completed","ER_21278_3A_HGAP3","TD_01065_ER_isolate_P6_010820_MOCPW","BasecallerV1","RS_HGAP_Assembly.3","","TD01065_ER_21278_3A_5K_P6_010820_MOCPW_70pM","","2.3.0","Thu Jan 09 14:14:24 EST 2020"
"true","MagBead OneCellPerWell v1","","oussenko","all","1","42177R","16666","Completed","ER_21410_3A_HGAP3","TD_01065_ER_isolates_P6_010320_MOCPW","BasecallerV1","RS_HGAP_Assembly.3","","TD01065_ER_21410_3A_5K_P6_010320_MOCPW_80pM","","2.3.0","Sat Jan 04 13:36:15 EST 2020"
"true","MagBead OneCellPerWell v1","","oussenko","all","1","42177R","16665","Completed","ER_21397_3A_HGAP3","TD_01065_ER_isolates_P6_010320_MOCPW","BasecallerV1","RS_HGAP_Assembly.3","","TD01065_ER_21397_3A_5K_P6_010320_MOCPW_80pM","","2.3.0","Sat Jan 04 13:35:39 EST 2020"
"true","MagBead OneCellPerWell v1","","MSmith","all","1","42177R","16664","Completed","TD01189_Corey_Fosmid_pool_SR","TD_01189_Corey_fosmid_pool_P6_121919_MOCPW","BasecallerV1","RS_Subreads.1","","TD_01189_Corey_fosmid_pool_P6_121919_MOC_85pM","","2.3.0","Fri Jan 03 12:46:10 EST 2020"
"true","MagBead OneCellPerWell v1","","oussenko","all","1","42177R","16663","Completed","ER_21231_3A_BP_HGAP3","TD_01065_ER_CD_isolates_P6_123119_MOCPW","BasecallerV1","RS_HGAP_Assembly.3","","TD01065_ER_21231_3A_BP_P6_123119_MOCPW_70pM","","2.3.0","Thu Jan 02 12:33:10 EST 2020"
"true","MagBead OneCellPerWell v1","","oussenko","all","1","42177R","16662","Completed","CD_02547_2B_HGAP3","TD_01065_ER_CD_isolates_P6_123119_MOCPW","BasecallerV1","RS_HGAP_Assembly.3","","TD01065_CD_02547_2B_BP_P6_123119_MOCPW_70pM","","2.3.0","Thu Jan 02 12:32:26 EST 2020"
"true","MagBead OneCellPerWell v1","","oussenko","all","1","42177R","16661","Completed","CD_02456_2B_HGAP3","TD_01065_ER_CD_isolates_P6_123119_MOCPW","BasecallerV1","RS_HGAP_Assembly.3","","TD01065_CD_02456_2B_BP_P6_123119_MOCPW_70pM","","2.3.0","Thu Jan 02 12:31:54 EST 2020"
"true","MagBead OneCellPerWell v1","","oussenko","all","1","42177R","16660","Completed","ER_21231_3A_5K_HGAP3","TD_01065_ER_isolate_P6_122419_MOCPW","BasecallerV1","RS_HGAP_Assembly.3","","TD01065_ER_21231_3A_5K_P6_122419_MOCPW_80pM","","2.3.0","Wed Dec 25 10:31:29 EST 2019"
"true","Standard Seq v3","","MSmith","all","1","42163R","16659","Completed","TD01296_Neuro_amp_SR","TD_01289_16888B_TD_01296_Neuro_amp_121219_SSeq","BasecallerV1","RS_Subreads.1","","TD_01296_Neuro_amp_121219_SSeq_175pM","","2.3.0","Wed Dec 18 11:08:12 EST 2019"
"true","Standard Seq v3","","MSmith","all","1","42163R","16658","Completed","TD01289_16888B_SR","TD_01289_16888B_TD_01296_Neuro_amp_121219_SSeq","BasecallerV1","RS_Subreads.1","","TD_01289_16888B_121219_SSeq_175pM","","2.3.0","Wed Dec 18 11:07:54 EST 2019"
"true","MagBead OneCellPerWell v1","","MSmith","all","1","42177R","16657","Completed","TD01172_ABC11_pool_igk_5a_112519_SR","TD_01172_Fosmid_pools_P6_112519_MOCPW","BasecallerV1","RS_Subreads.1","","TD_01172_ABC11_pool_igk_5a_112519_MOCPW_110pM","","2.3.0","Wed Dec 18 11:04:17 EST 2019"
"true","MagBead OneCellPerWell v1","","MSmith","all","1","42177R","16656","Completed","TD01172_ABC13_pool_igk_5b_T20","TD_01065_ER_isolate_TD_01290_HERV_pool_TD_01172_fosmids_P6_120419_MOCPW","BasecallerV1","RS_Subreads.1","","TD_01172_ABC13_pool_igk_5b_T20_120419_MO_80pM","","2.3.0","Wed Dec 18 11:03:10 EST 2019"
"true","MagBead OneCellPerWell v1","","MSmith","all","2","[Multiple]","16655","Completed","TD01172_ABC11_pool_IGK_5a_T10_2cells_SR","[Multiple]","BasecallerV1","RS_Subreads.1","","[Multiple]","","2.3.0","Tue Dec 17 13:46:24 EST 2019"
"true","MagBead OneCellPerWell v1","","MSmith","all","1","42177R","16654","Completed","TD01172_ABC12_pool_Igk_4a_T14_SR","TD_01172_Fosmid_pools_P6_121019_MOCPW","BasecallerV1","RS_Subreads.1","","TD_01172_ABC12_pool_igk_4a_T14_121019_M_100pM","","2.3.0","Tue Dec 17 13:45:16 EST 2019"
"true","MagBead OneCellPerWell v1","","MSmith","all","1","42177R","16653","Completed","TD01172_ABC12_igk_5a_ABC12_ig_T16_SR","TD_01172_Fosmid_pools_P6_121019_MOCPW","BasecallerV1","RS_Subreads.1","","TD_01172_ABC12igk5aABC12ig_T16_121019_M_100pM","","2.3.0","Tue Dec 17 13:44:24 EST 2019"
